id	filename	md5	size	state
033338fd-ac73-4071-b1f5-273f8416e700	033338fd-ac73-4071-b1f5-273f8416e700/5500014026072032607011.H07.level3.data.txt	e4c6fab0c4fa647a2f0c8e3dddc9c45a	279429	validated
04e1f499-3165-4500-a5b3-b93061a7c690	04e1f499-3165-4500-a5b3-b93061a7c690/WARNS_p_TCGA_b79_Expr_HT_HG-U133A_24-HTA_F09_724094.level3.data.txt	6c04e6a90679c9cabe3b6da37418a5e0	279464	validated
055b9805-95e9-4fe2-a735-687ac6883c72	055b9805-95e9-4fe2-a735-687ac6883c72/5500024037497121008340.A08.level3.data.txt	d0a9abb7a930e4fe77d2d0faf62c0542	279615	validated
09484d82-b4d6-4b81-a34b-b73d3c014a25	09484d82-b4d6-4b81-a34b-b73d3c014a25/5500024035736031208615.D08.level3.data.txt	3d0d97601ce78e03d0aa85378194d6ff	279463	validated
09ab24fb-84ed-4dc9-b35f-e0ce6c0a564b	09ab24fb-84ed-4dc9-b35f-e0ce6c0a564b/5500024035736031208615.D05.level3.data.txt	caa022aa1c87a77571d77995ad4d109b	279576	validated
0b3bbf67-3c46-4f91-b6b7-5bf1e9c8c2f3	0b3bbf67-3c46-4f91-b6b7-5bf1e9c8c2f3/5500024035736031208615.E02.level3.data.txt	eb7a1a3caf5326924928511bd9f86538	279519	validated
0d92fe45-0651-4f0a-afdc-97c500eefdde	0d92fe45-0651-4f0a-afdc-97c500eefdde/5500024035100021608462.A12.level3.data.txt	caa7b40337f997f125cfde858629f21e	279572	validated
0e0a5077-3270-4be8-aa05-0fe16ce8145e	0e0a5077-3270-4be8-aa05-0fe16ce8145e/5500024035736031208615.A04.level3.data.txt	683f679df1c38d982a4ce44b77980a1c	279500	validated
0e7f3c70-c370-4de0-a148-3b5266e62e72	0e7f3c70-c370-4de0-a148-3b5266e62e72/5500024035736031208615.C01.level3.data.txt	5e78277790650aebf1aaf317549bb5bc	279512	validated
0eb80eee-c696-420f-a191-bc9254d79c62	0eb80eee-c696-420f-a191-bc9254d79c62/APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_C07_464108.level3.data.txt	a82b201138c3cb6a2fae92f9bf74f19c	279609	validated
0eca917f-0817-4afb-871a-c5078d17e46b	0eca917f-0817-4afb-871a-c5078d17e46b/NIDUS_p_TCGA_Batch10_RNA_HT_HG-U133A_96-HTA_B12_400440.level3.data.txt	8abecc295b14c899f6b27dc9ee32b751	279569	validated
0f67541f-0005-428c-add2-26c5c5b94cc8	0f67541f-0005-428c-add2-26c5c5b94cc8/TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_B02_586214.level3.data.txt	863ab4dcbbbe56de3e52f5454e350d13	279470	validated
1126f5a9-3ead-4e46-bc5e-a6803d37fd21	1126f5a9-3ead-4e46-bc5e-a6803d37fd21/FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_B07_516310.level3.data.txt	e4ee71e98a8a95e74b1c5966a054e3d8	279478	validated
12fd27e3-1c7e-4dc6-b404-0df6f4a4523d	12fd27e3-1c7e-4dc6-b404-0df6f4a4523d/APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_D02_464122.level3.data.txt	d7fdc3c3c950f41f863ce41267a939ee	279562	validated
1498101c-c5b7-4c85-90ab-828e25bb6158	1498101c-c5b7-4c85-90ab-828e25bb6158/5500024037497121008340.C02.level3.data.txt	c1ad97455cda3c38325db7b4aabd7c65	279563	validated
14c5167a-359b-4707-bff6-f6f0e9a441ff	14c5167a-359b-4707-bff6-f6f0e9a441ff/5500024035736031208615.B08.level3.data.txt	7a6ebf09caca108f803c3aad47e077d8	279434	validated
15260721-a7c1-473f-a3a9-06133917c971	15260721-a7c1-473f-a3a9-06133917c971/TALAR_p_TCGA_Batch62_Expr_HT_HG-U133A_24-HTA_G07_691706.level3.data.txt	4a07d4b5eed314bbf5a5ff69f57995d5	279501	validated
18065996-a0bf-4eb1-b8c5-ed85af96fce0	18065996-a0bf-4eb1-b8c5-ed85af96fce0/5500024035100021608462.C02.level3.data.txt	a4d08c56ec11776adb612924faf5ff2a	279523	validated
18e7261b-8d99-463c-937a-022f8056c8e1	18e7261b-8d99-463c-937a-022f8056c8e1/5500024035736031208615.G06.level3.data.txt	93441baa4dcc8414c9909d96305561cc	279462	validated
196643d3-2745-4f96-aff2-64a1e6509162	196643d3-2745-4f96-aff2-64a1e6509162/5500024032848101507996.C01.level3.data.txt	43cee773e8ccfa6c03d46f182f44d178	279473	validated
